List of markets for the selected product Product: 1005 Maize (corn)
"Partners"	"Balance in value in 2001"	"Balance in value in 2002"	"Balance in value in 2003"	"Balance in value in 2004"	"Balance in value in 2005"	"Balance in value in 2006"	"Balance in value in 2007"	"Balance in value in 2008"	"Balance in value in 2009"	"Balance in value in 2010"	"Balance in value in 2011"	"Balance in value in 2012"	"Balance in value in 2013"	"Exported value in 2013"	"Imported value in 2013"	
Cameroon	-2353	-2086	-1120	-620	-2928	-2023	-748	-1700	-7911	-4514	-3095	-7119	-5330	0	5330	
Haiti	-512	-468	-686	-108	-172	-346	-292	-1193	-1172	-1613	-4089	-3174	-5373	0	5373	
Iceland	-2404	-2099	-3235	-4169	-3803	-4067	-8846	-6928	-4730	-3828	-7461	-4982	-5775	0	5775	
Democratic Republic of the Congo	-2471	-3140	-1334	397	-3344	-4192	-4128	-5138	-5170	-2633	-1275	-3335	-6242	21	6263	
Latvia	-1394	-1315	-3378	-2146	-647	-2180	-2432	-14496	-1679	-2314	-4348	-7044	-6924	2444	9368	
Estonia	-719	-2751	-4376	-4723	-2356	-2028	-3464	-9121	-2300	-4029	-6661	-3741	-8402	678	9080	
Iraq	-7565	-396	3607	-110	-6206	-3850	-1554	-8987	-1793	-1339	-1520	-3409	-9085	0	9085	
Rwanda	-1642	-628	281	-2249	-359	-2227	-4311	-3067	-10506	-14677	-6300	-8951	-9127	2507	11634	
Sudan (North + South)	-3306	1240	-390	-1000	-17102	-686		-58	-36180	-10927	-9369	-21749	-9362	219	9581	
Cabo Verde	-3756	-5159	-6526	-3787	-4755	-5224	-7194		-3593	-6517	-6887	-7153	-9632	0	9632	
Barbados	-3309	-3559	-4110	-5056	-5183	-5508	-7290	-12676	-7455	-8427	-12068	-9800	-10058	6	10064	
Guyana	-979	-2150	-911	-220	-2792	-1696	-1496	-7823	-5104	-6705	-11604	-14147	-10139	0	10139	
Sweden	-1343	-2200	-2171	-3366	-2337	-5296	-8954	-15484	-6559	-7007	-9486	-11445	-10888	144	11032	
Niger	-1500	-2514	-2383	-10441	-4810	-4400	-2915	-889	-231	-15453	-2233	-20499	-11016	3	11019	
Hong Kong China	-7875	-6667	-10133	-14143	-16018	-15538	-11342	-9261	-6842	-8991	-10179	-6684	-12254	0	12254	
Singapore	-2560	-3778	-3728	-2724	-2783	-1505	-2234	-2211	-3385	-4339	-6594	-11444	-13434	280	13714	
Macedonia The Former Yugoslav Republic of	-9831	-8910	-7469	-11320	-9197	-9041	-13719		-9647	-11309	-18771	-19331	-13730	220	13950	
Angola	-7982	-14294	-22696	-13491	-11533	-6672	-3797	-12702	-10468	-5652	-11123	-6665	-14782	0	14782	
Malta	-7876	-6419	-9347	-9576	-10947	-8381	-16593	-24443	-11575	-11772	-14130	-13480	-17402	0	17402	
Malawi	-1008	-81978	6481	-9293	-21435	-5618	97144	6297	-14829	-3486	82370	-160	-18763	1701	20464	
