Date,Open,High,Low,Close,Volume,Adjusted Close
2012-07-30,762.48,765.69,759.87,761.98,0.0,761.98
2012-07-31,761.82,763.02,758.55,758.6,0.0,758.6
2012-08-01,758.49,761.86,755.09,756.0,0.0,756.0
2012-08-02,755.86,755.86,745.07,750.5,0.0,750.5
2012-08-03,754.22,766.52,754.22,764.75,0.0,764.75
2012-08-06,765.54,769.62,765.54,766.76,0.0,766.76
2012-08-07,767.94,774.22,767.94,771.03,0.0,771.03
2012-08-08,769.24,772.57,768.21,771.51,0.0,771.51
2012-08-09,770.96,773.71,769.87,772.03,0.0,772.03
2012-08-10,770.53,773.72,768.23,773.67,0.0,773.67
2012-08-13,772.86,773.26,768.69,772.61,0.0,772.61
2012-08-14,773.75,775.96,770.66,772.43,0.0,772.43
2012-08-15,771.99,774.79,771.34,773.74,0.0,773.74
2012-08-16,774.26,780.39,772.96,779.35,0.0,779.35
2012-08-17,779.77,781.19,778.85,780.92,0.0,780.92
2012-08-20,780.36,780.69,777.43,780.69,0.0,780.69
2012-08-21,781.67,785.6,777.03,778.32,0.0,778.32
2012-08-22,777.85,779.88,774.72,778.45,0.0,778.45
2012-08-23,777.3,777.3,771.47,772.41,0.0,772.41
2012-08-24,771.98,778.4,770.19,777.11,0.0,777.11
2012-08-27,778.33,779.7,775.9,776.61,0.0,776.61
2012-08-28,775.86,778.56,774.11,776.37,0.0,776.37
2012-08-29,776.43,778.87,774.79,777.06,0.0,777.06
2012-08-30,776.95,776.95,769.63,771.11,0.0,771.11
2012-08-31,773.37,778.44,770.65,775.07,0.0,775.07
2012-09-04,774.35,777.02,769.6,774.86,0.0,774.86
2012-09-05,774.58,776.92,772.74,774.12,0.0,774.12
2012-09-06,776.25,789.89,776.25,789.89,0.0,789.89
2012-09-07,789.73,793.34,789.73,793.33,0.0,793.33
2012-09-10,792.76,793.81,788.52,788.56,0.0,788.56
2012-09-11,788.56,793.11,788.52,790.91,0.0,790.91
2012-09-12,791.39,794.05,790.79,792.72,0.0,792.72
2012-09-13,792.83,807.11,791.87,805.09,0.0,805.09
2012-09-14,805.92,813.55,805.75,809.01,0.0,809.01
2012-09-17,808.52,808.52,804.02,805.81,0.0,805.81
2012-09-18,805.19,805.65,802.89,804.46,0.0,804.46
2012-09-19,804.57,807.74,803.71,805.67,0.0,805.67
2012-09-20,803.88,805.2,799.23,804.68,0.0,804.68
2012-09-21,805.61,808.64,804.41,804.71,0.0,804.71
2012-09-24,802.33,804.84,800.22,802.7,0.0,802.7
2012-09-25,803.5,805.88,793.86,793.86,0.0,793.86
2012-09-26,793.27,793.44,787.52,789.33,0.0,789.33
2012-09-27,789.9,798.67,789.9,797.02,0.0,797.02
2012-09-28,795.39,796.55,790.7,793.74,0.0,793.74
2012-10-01,795.0,802.32,793.51,795.45,0.0,795.45
2012-10-02,796.9,799.28,792.87,796.45,0.0,796.45
2012-10-03,797.38,801.16,794.48,799.28,0.0,799.28
2012-10-04,800.31,805.71,800.31,805.04,0.0,805.04
2012-10-05,806.33,810.51,802.7,804.88,0.0,804.88
2012-10-08,803.02,803.29,800.56,802.05,0.0,802.05
2012-10-09,800.05,800.05,793.86,794.04,0.0,794.04
2012-10-10,794.1,794.56,788.08,789.19,0.0,789.19
2012-10-11,791.44,795.68,789.76,789.76,0.0,789.76
2012-10-12,789.87,792.67,785.64,787.18,0.0,787.18
2012-10-15,787.18,794.02,786.26,793.44,0.0,793.44
2012-10-16,794.58,801.86,794.58,801.6,0.0,801.6
2012-10-17,800.67,805.77,800.67,805.04,0.0,805.04
2012-10-18,804.14,806.77,800.78,803.33,0.0,803.33
2012-10-19,802.55,802.55,788.55,790.34,0.0,790.34
2012-10-22,789.6,791.45,784.17,790.43,0.0,790.43
2012-10-23,788.02,788.02,775.93,779.62,0.0,779.62
2012-10-24,781.33,783.53,776.35,777.27,0.0,777.27
2012-10-25,779.77,783.95,775.11,779.43,0.0,779.43
